CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
FELDA GLOBAL VENTURES HOLDINGS BERHAD,http://www.feldaglobal.com/,Manufacturing,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysia,"FGV Holdings Berhad is based in Malaysia and is one of the country?¢¬Ä¬ôs leading globally-integrated, diversified agri-business that focuses on the whole supply chain of palm oil, sugar manufacturing and downstream activities in oils & fats and oleo-chemicals. We operate in more than 10 countries across Asia, the Middle East, North America, and Europe.
 
Incorporated in Malaysia as a private limited company 2007, FGV initially operated as the commercial arm of Federal Land Development Authority (FELDA). On 28 June 2012, the company was listed on the main market of Bursa Malaysia Securities Berhad as Felda Global Ventures Holdings Berhad.  
 
FGV operates on 439,725 ha of landbank  in Malaysia and Indonesia. FGV produces around 3 million MT Crude Palm Oil (CPO), processing over 13 million MT fruits including from Felda smallholders and third party estates.  
 
Our focus spans three core business sectors: Plantation Sector, Logistics & Support Business (LSB) Sector and Sugar Sector. With more than 45,000 strong workfore including field workers, FGV aspires to be one of the world's leading agri-business companies while continuously drive a sustainable business and deliver value to our shareholders.


?Ç¬© FGV Holdings Berhad (800165-P/200701042133). All rights reserved","10,001+ employees",2024-07-05 00:00:00,21679.0,291,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases']",Qilin
MADERO,http://www.madero.ca/,Manufacturing,Saskatoon,Canada,"For more than 35 years Mader?É¬? has been a leading company in the sector of bathroom furniture.
The company?¢¬Ä¬ôs aim has always been the design and the search for the latest trends in decoration an interior design.
Offering a wide range of collections which use a variety of materials: veneers, solid wood, lacquered MDF, glass, steel?¢¬Ä¬¶ 
Mader?É¬? use latest generation fittings and elements and selects the best suppliers from around the world. 
Madero?¢¬Ä¬ôs products are sold through specialized distributors who are carefully chosen. Our network of representatives, with a presence in the main geographical areas, guarantees a full quality service.",51-200 employees,2024-07-05 00:00:00,20996.0,350,['unknown'],Qilin
BIG ISSUE GROUP,http://www.bigissue.com/,Media,"London, Greater London",United Kingdom,"From an award-winning magazine offering employment opportunities to people in poverty, to a multi-million pound social investment business supporting enterprise to drive social change. For over 25 years The Big Issue Group has strived to dismantle poverty through creating opportunity, in the process becoming one of the most recognised and trusted brands in the UK.",51-200 employees,2024-07-05 00:00:00,20763.0,530,"['Financial Data', 'PII', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
WATERGATE,http://www.thewatergatehotel.com/,Manufacturing,"London, London",United States,"Ending the era of dumb water.
Watergate is a water tech company dedicated to combating water leaks and promoting conservation. Our innovative solution helps property owners, building managers, and insurers protect assets and mitigate the impacts of water-related damage.",11-50 employees,2024-07-05 00:00:00,20753.0,289,['Customer and Client Data'],Qilin
MCS,http://www.mitchellcountychamber.org/,Membership Organizations,North Carolina,United States,"The Mitchell County Chamber of Commerce is the area?ïs largest business organization and has served the Mitchell County area for more than 50 years. A lot has changed over the last fifty years and while we still value the honest and hardworking community we live in, we understand that businesses and organizations just don?ït operate in the same world as they used to. In response we are developing new ways of defining the business community, connecting our member businesses through new networks and encouraging a spirit of renewal in our entrepreneurial community. While we are moving forward with innovative ways of helping our members grow and succeed, we still base our core business models and relationships with our members on old-fashioned mountain values.",,2024-07-05 00:00:00,20174.0,53,['Customer and Client Data'],Qilin
DR CHARLES A EVANS,http://www.charlesevansmd.com/,Healthcare,"Lufkin, Texas",United States,"For people who have not found answers in other places, we help navigate and find solutions for difficult and chronic health issues. Our approach utilizes cutting-edge diagnostics, long visit times, and deep and inquisitive listening, all culminating in 100% individualized patient-specific treatment plans. Additionally, this system helps empower patients to learn how to experience a lifestyle which moves them away from chronic and debilitating disease towards adaptability and vitality.",,2024-07-05 00:00:00,19722.0,3,"['Customer and Client Data', 'Healthcare Data']",Qilin
JEAN-NOUVEL,http://www.jeannouvel.com/,Retail,Paris,France,"Ateliers Jean Nouvel (AJN) is a world-renowned design firm that gathers a multicultural team of 140 persons from more than twenty countries. 
AJN benefits from Jean Nouvel?¢¬Ä¬ôs experience as the head of several practices dating back to 1970. AJN combines the disciplines of architecture, urban planning, interior design, landscape design, graphic design, and product design into a single integrated practice. 
AJN?¢¬Ä¬ôs diverse, world spanning portfolio includes museums, concert halls, conference centers, theaters, hotels, residential buildings, office buildings, commercial centers, and private residences. ",,2024-07-05 00:00:00,12628.0,314,['unknown'],Qilin
THE WEINSTEIN FIRM,http://www.weinsteinwin.com/,Legal Services,Georgia,United States,"At The Weinstein Firm LLC, we operate on what is called a contingency fee basis. ",2-10 employees,2024-07-05 00:00:00,12450.0,89,"['Financial Data', 'Customer and Client Data']",Qilin
W.P.J. MCCARTHY AND COMPANY,http://www.wpjmccarthy.com/,Real Estate,"Burnaby, BC",Canada,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits.",2-10 employees,2024-07-05 00:00:00,10545.0,70,"['Employee and HR data', 'Legal Documents']",Qilin
THOLEN BUILDING TECHNOLOGY GROUP,http://www.tholen-gebaeudetechnik.de/,Construction,Geilenkirchen,Germany,Tholen Gruppe is a company that operates in the Building Materials industry. ,,2024-07-05 00:00:00,9585.0,344,"['Customer and Client Data', 'Utility and Infrastructure Data']",Qilin
WILLIAMSRDM.COM,http://www.williamsrdm.com/,Manufacturing,"Fort Worth, Texas",United States,"WilliamsRDM, Inc., is a woman-owned, privately held small business known for its innovative product development and short-run, high-complexity precision manufacturing. Located in Fort Worth, Texas, the company develops and manufactures more than 200 unique products?¢¬Ä¬îall designed in house for the aerospace, defense, and energy sectors. Among the many leading companies in these industries, WilliamsRDM has worked with Lockheed Martin, Boeing, Halliburton, and Northrop Grumman. Many of the USA?¢¬Ä¬ôs most respected military aircraft?¢¬Ä¬îthe A-10, F-15, F-16, F-18,  F-22, F-35, and V-22?¢¬Ä¬îuse WilliamsRDM test equipment, cabling, and connectors to keep them flying. The company is also proud to manufacture a simple, affordable line of residential fire suppression products ?¢¬Ä¬îStoveTop FireStop?¢¬Ä¬îthat protects more than a million American families each day.

For fifty years WilliamsRDM has been an example of ingenuity and can-do spirit in the heart of Fort Worth, Texas. We believe in American exceptionalism because we walk that walk every day. We?¢¬Ä¬ôve proven you don?¢¬Ä¬ôt have to be big to do big things, and we?¢¬Ä¬ôd challenge you to find any other company our size with the engineering and manufacturing capabilities we field under one roof. The hundreds of innovative products we?¢¬Ä¬ôve developed and manufactured for the likes of Lockheed Martin, Boeing, Northrop Grumman, and Halliburton say a lot about our competence in design innovation and high-complexity, short run, precision manufacture. The test equipment, cables, connectors, intelligent mobile power grid and other solutions we?¢¬Ä¬ôve designed for defense, energy, and fire suppression attest to our capabilities. When others in our business wouldn?¢¬Ä¬ôt dare assume the risk, we put our money where our mouth is, funding development of our own proof-of-concept prototypes. We?¢¬Ä¬ôve earned our reputation: ?¢¬Ä¬ú...when others can?¢¬Ä¬ôt or won?¢¬Ä¬ôt... Williams will!?¢¬Ä¬ù",51-200 employees,2024-07-05 00:00:00,9490.0,104,['Intellectual Property'],Qilin
INFORIUS,http://www.inforius.be/,IT Services ,Gembloux,Belgium,"Consultance informatique, Audits informatiques,Missions d?¢¬Ä¬ôexpertise

Inforius dispose de sp?É¬©cialistes et d?¢¬Ä¬ôexperts passionn?É¬©s par les nouvelles technologies qui mettent leur savoir-faire et leur exp?É¬©rience ?É¬ votre service. A l?¢¬Ä¬ô?É¬©coute de vos besoins, ils analyseront en d?É¬©tail vos attentes et vous aideront ?É¬ choisir le produit qui r?É¬©pond r?É¬©ellement ?É¬ vos besoins ou vous proposeront des solutions sur mesure. Inforius se chargera ?É¬©galement de l?¢¬Ä¬ôimpl?É¬©mentation des solutions informatiques, de la documentation et du suivi.

Notre consultance peut prendre diff?É¬©rentes formes :

Audits techniques, analyse de faisabilit?É¬© ou pr?É¬©-?É¬©tudes de projets ;
Conception d?¢¬Ä¬ôune infrastructure r?É¬©seau : conseil et conception du plan de d?É¬©ploiement ;
Conduite du projet : assistance ?É¬ la ma?É¬Ætrise de l?¢¬Ä¬ôouvrage, conseil en mati?É¬®re de pilotage op?É¬©rationnel, etc.

Inforius propose une gamme de produits ?É¬ destination des administrations",11-50 employees,2024-07-05 00:00:00,9397.0,45,['unknown'],Qilin
INTUITAE,http://www.intuitae.com/,Financial Services,Paris,France,"Depuis 2001, nous conseillons les familles fortun?É¬©es soucieuses de p?É¬©renniser leur patrimoine et de le transmettre aux g?É¬©n?É¬©rations futures.",11-50 employees,2024-07-05 00:00:00,9093.0,40,['Customer and Client Data'],Qilin
